x,rho,P,u
0.0025025025025025,0.426319428178495,0.303130178050647,0.92745262004895
0.0035035035035035,0.426319428178495,0.303130178050647,0.92745262004895
0.0045045045045045,0.426319428178495,0.303130178050647,0.92745262004895
0.00550550550550551,0.426319428178495,0.303130178050647,0.92745262004895
0.00650650650650651,0.426319428178495,0.303130178050647,0.92745262004895
0.00750750750750751,0.426319428178495,0.303130178050647,0.92745262004895
0.00850850850850851,0.426319428178495,0.303130178050647,0.92745262004895
0.00950950950950951,0.426319428178495,0.303130178050647,0.92745262004895
0.0105105105105105,0.426319428178495,0.303130178050647,0.92745262004895
0.0115115115115115,0.426319428178495,0.303130178050647,0.92745262004895
0.0125125125125125,0.426319428178495,0.303130178050647,0.92745262004895
0.0135135135135135,0.426319428178495,0.303130178050647,0.92745262004895
0.0145145145145145,0.426319428178495,0.303130178050647,0.92745262004895
0.0155155155155155,0.426319428178495,0.303130178050647,0.92745262004895
0.0165165165165165,0.426319428178495,0.303130178050647,0.92745262004895
0.0175175175175175,0.426319428178495,0.303130178050647,0.92745262004895
0.0185185185185185,0.426319428178495,0.303130178050647,0.92745262004895
0.0195195195195195,0.426319428178495,0.303130178050647,0.92745262004895
0.0205205205205205,0.426319428178495,0.303130178050647,0.92745262004895
0.0215215215215215,0.426319428178495,0.303130178050647,0.92745262004895
0.0225225225225225,0.426319428178495,0.303130178050647,0.92745262004895
0.0235235235235235,0.426319428178495,0.303130178050647,0.92745262004895
0.0245245245245245,0.426319428178495,0.303130178050647,0.92745262004895
0.0255255255255255,0.426319428178495,0.303130178050647,0.92745262004895
0.0265265265265265,0.426319428178495,0.303130178050647,0.92745262004895
0.0275275275275275,0.426319428178495,0.303130178050647,0.92745262004895
0.0285285285285285,0.426319428178495,0.303130178050647,0.92745262004895
0.0295295295295295,0.426319428178495,0.303130178050647,0.92745262004895
0.0305305305305305,0.426319428178495,0.303130178050647,0.92745262004895
0.0315315315315315,0.426319428178495,0.303130178050647,0.92745262004895
0.0325325325325325,0.426319428178495,0.303130178050647,0.92745262004895
0.0335335335335335,0.426319428178495,0.303130178050647,0.92745262004895
0.0345345345345345,0.426319428178495,0.303130178050647,0.92745262004895
0.0355355355355355,0.426319428178495,0.303130178050647,0.92745262004895
0.0365365365365365,0.426319428178495,0.303130178050647,0.92745262004895
0.0375375375375375,0.426319428178495,0.303130178050647,0.92745262004895
0.0385385385385385,0.426319428178495,0.303130178050647,0.92745262004895
0.0395395395395395,0.426319428178495,0.303130178050647,0.92745262004895
0.0405405405405405,0.426319428178495,0.303130178050647,0.92745262004895
0.0415415415415415,0.426319428178495,0.303130178050647,0.92745262004895
0.0425425425425425,0.426319428178495,0.303130178050647,0.92745262004895
0.0435435435435435,0.426319428178495,0.303130178050647,0.92745262004895
0.0445445445445445,0.426319428178495,0.303130178050647,0.92745262004895
0.0455455455455455,0.426319428178495,0.303130178050647,0.92745262004895
0.0465465465465465,0.426319428178495,0.303130178050647,0.92745262004895
0.0475475475475475,0.426319428178495,0.303130178050647,0.92745262004895
0.0485485485485486,0.426319428178495,0.303130178050647,0.92745262004895
0.0495495495495495,0.426319428178495,0.303130178050647,0.92745262004895
0.0505505505505505,0.426319428178495,0.303130178050647,0.92745262004895
0.0515515515515515,0.426319428178495,0.303130178050647,0.92745262004895
0.0525525525525526,0.426319428178495,0.303130178050647,0.92745262004895
0.0535535535535536,0.426319428178495,0.303130178050647,0.92745262004895
0.0545545545545546,0.426319428178495,0.303130178050647,0.92745262004895
0.0555555555555556,0.426319428178495,0.303130178050647,0.92745262004895
0.0565565565565566,0.426319428178495,0.303130178050647,0.92745262004895
0.0575575575575576,0.426319428178495,0.303130178050647,0.92745262004895
0.0585585585585586,0.426319428178495,0.303130178050647,0.92745262004895
0.0595595595595596,0.426319428178495,0.303130178050647,0.92745262004895
0.0605605605605606,0.426319428178495,0.303130178050647,0.92745262004895
0.0615615615615616,0.426319428178495,0.303130178050647,0.92745262004895
0.0625625625625626,0.426319428178495,0.303130178050647,0.92745262004895
0.0635635635635636,0.426319428178495,0.303130178050647,0.92745262004895
0.0645645645645646,0.426319428178495,0.303130178050647,0.92745262004895
0.0655655655655656,0.426319428178495,0.303130178050647,0.92745262004895
0.0665665665665666,0.426319428178495,0.303130178050647,0.92745262004895
0.0675675675675676,0.426319428178495,0.303130178050647,0.92745262004895
0.0685685685685686,0.426319428178495,0.303130178050647,0.92745262004895
0.0695695695695696,0.426319428178495,0.303130178050647,0.92745262004895
0.0705705705705706,0.426319428178495,0.303130178050647,0.92745262004895
0.0715715715715716,0.426319428178495,0.303130178050647,0.92745262004895
0.0725725725725726,0.426319428178495,0.303130178050647,0.92745262004895
0.0735735735735736,0.426319428178495,0.303130178050647,0.92745262004895
0.0745745745745746,0.426319428178495,0.303130178050647,0.92745262004895
0.0755755755755756,0.426319428178495,0.303130178050647,0.92745262004895
0.0765765765765766,0.426319428178495,0.303130178050647,0.92745262004895
0.0775775775775776,0.426319428178495,0.303130178050647,0.92745262004895
0.0785785785785786,0.426319428178495,0.303130178050647,0.92745262004895
0.0795795795795796,0.426319428178495,0.303130178050647,0.92745262004895
0.0805805805805806,0.426319428178495,0.303130178050647,0.92745262004895
0.0815815815815816,0.426319428178495,0.303130178050647,0.92745262004895
0.0825825825825826,0.426319428178495,0.303130178050647,0.92745262004895
0.0835835835835836,0.426319428178495,0.303130178050647,0.92745262004895
0.0845845845845846,0.426319428178495,0.303130178050647,0.92745262004895
0.0855855855855856,0.426319428178495,0.303130178050647,0.92745262004895
0.0865865865865866,0.426319428178495,0.303130178050647,0.92745262004895
0.0875875875875876,0.426319428178495,0.303130178050647,0.92745262004895
0.0885885885885886,0.426319428178495,0.303130178050647,0.92745262004895
0.0895895895895896,0.426319428178495,0.303130178050647,0.92745262004895
0.0905905905905906,0.426319428178495,0.303130178050647,0.92745262004895
0.0915915915915916,0.426319428178495,0.303130178050647,0.92745262004895
0.0925925925925926,0.426319428178495,0.303130178050647,0.92745262004895
0.0935935935935936,0.265573711705307,0.303130178050647,0.92745262004895
0.0945945945945946,0.265573711705307,0.303130178050647,0.92745262004895
0.0955955955955956,0.265573711705307,0.303130178050647,0.92745262004895
0.0965965965965966,0.265573711705307,0.303130178050647,0.92745262004895
0.0975975975975976,0.265573711705307,0.303130178050647,0.92745262004895
0.0985985985985986,0.265573711705307,0.303130178050647,0.92745262004895
0.0995995995995996,0.265573711705307,0.303130178050647,0.92745262004895
0.100600600600601,0.265573711705307,0.303130178050647,0.92745262004895
0.101601601601602,0.265573711705307,0.303130178050647,0.92745262004895
0.102602602602603,0.265573711705307,0.303130178050647,0.92745262004895
0.103603603603604,0.265573711705307,0.303130178050647,0.92745262004895
0.104604604604605,0.265573711705307,0.303130178050647,0.92745262004895
0.105605605605606,0.265573711705307,0.303130178050647,0.92745262004895
0.106606606606607,0.265573711705307,0.303130178050647,0.92745262004895
0.107607607607608,0.265573711705307,0.303130178050647,0.92745262004895
0.108608608608609,0.265573711705307,0.303130178050647,0.92745262004895
0.10960960960961,0.265573711705307,0.303130178050647,0.92745262004895
0.110610610610611,0.265573711705307,0.303130178050647,0.92745262004895
0.111611611611612,0.265573711705307,0.303130178050647,0.92745262004895
0.112612612612613,0.265573711705307,0.303130178050647,0.92745262004895
0.113613613613614,0.265573711705307,0.303130178050647,0.92745262004895
0.114614614614615,0.265573711705307,0.303130178050647,0.92745262004895
0.115615615615616,0.265573711705307,0.303130178050647,0.92745262004895
0.116616616616617,0.265573711705307,0.303130178050647,0.92745262004895
0.117617617617618,0.265573711705307,0.303130178050647,0.92745262004895
0.118618618618619,0.265573711705307,0.303130178050647,0.92745262004895
0.11961961961962,0.265573711705307,0.303130178050647,0.92745262004895
0.120620620620621,0.265573711705307,0.303130178050647,0.92745262004895
0.121621621621622,0.265573711705307,0.303130178050647,0.92745262004895
0.122622622622623,0.265573711705307,0.303130178050647,0.92745262004895
0.123623623623624,0.265573711705307,0.303130178050647,0.92745262004895
0.124624624624625,0.265573711705307,0.303130178050647,0.92745262004895
0.125625625625626,0.265573711705307,0.303130178050647,0.92745262004895
0.126626626626627,0.265573711705307,0.303130178050647,0.92745262004895
0.127627627627628,0.265573711705307,0.303130178050647,0.92745262004895
